index,image,baseline_miou,repa_miou,delta_miou,num_gr_truth_classes,valid_fraction,case
1096,ADE_val_00001097.jpg,0.4349387493279048,0.5550670462175308,0.120128296889626,6,0.95121190977306,success
1088,ADE_val_00001089.jpg,0.4152222686087943,0.5209308575257325,0.1057085889169381,12,0.9813230994152048,success
1192,ADE_val_00001193.jpg,0.4303648364261512,0.6770689455675891,0.2467041091414378,4,0.9813915857605178,success
248,ADE_val_00000249.jpg,0.5478397714308716,0.6942750829428632,0.1464353115119916,4,0.9953616855783308,success
759,ADE_val_00000760.jpg,0.6887300062600127,0.848791035551991,0.1600610292919783,3,0.9752349853515624,success
714,ADE_val_00000715.jpg,0.4057642481098347,0.514731280963789,0.1089670328539542,9,0.9824962252928258,success
959,ADE_val_00000960.jpg,0.414712563333846,0.5218040607101557,0.1070914973763097,11,0.9900027452415812,success
1085,ADE_val_00001086.jpg,0.463426395599512,0.5921154782850692,0.1286890826855571,8,0.9838574075768668,success
1941,ADE_val_00001942.jpg,0.4474758578582449,0.5901692986513961,0.1426934407931512,3,0.9071875,success
800,ADE_val_00000801.jpg,0.4793491319100479,0.5868715415595561,0.1075224096495082,6,0.9952501601390924,success
1070,ADE_val_00001071.jpg,0.8227884537687249,0.5557328768565037,-0.2670555769122211,6,0.9857584635416666,failure
755,ADE_val_00000756.jpg,0.5368832865371135,0.4257832909336472,-0.1110999956034662,6,0.974334716796875,failure
281,ADE_val_00000282.jpg,0.5923838732302088,0.4905386248623108,-0.1018452483678979,6,0.9937431368960468,failure
553,ADE_val_00000554.jpg,0.5372964567862298,0.4086962907597721,-0.1286001660264577,3,0.98541259765625,failure
760,ADE_val_00000761.jpg,0.8098252227851009,0.6460701742348033,-0.1637550485502976,4,0.983245849609375,failure
193,ADE_val_00000194.jpg,0.7246696236932713,0.5040382334583071,-0.2206313902349641,4,0.9840375640556368,failure
905,ADE_val_00000906.jpg,0.5837180563755985,0.4810479038535012,-0.1026701525220972,5,0.8649600739596879,failure
1622,ADE_val_00001623.jpg,0.9296578355746946,0.6818962978296579,-0.2477615377450367,3,0.969207763671875,failure
1720,ADE_val_00001721.jpg,0.5132212629281734,0.4114313459079696,-0.1017899170202037,4,0.9931733914940022,failure
95,ADE_val_00000096.jpg,0.6659279232221785,0.4615149312635942,-0.2044129919585843,3,0.9768141471449489,failure
